,phase,sim_time,real_time,sim_en,real_en
144,"[(3401000.0, 3.0), (2800000.0, 1.0)]",3.0850894451141357,2.278,30.40417338718891,31.268781
145,"[(3401000.0, 3.0), (2800000.0, 2.0)]",2.4462223052978516,1.793,28.370761260786054,31.199383
146,"[(3401000.0, 3.0), (2800000.0, 3.0)]",2.8944718837738037,2.408,28.629067856850625,29.286789999999996
147,"[(3401000.0, 3.0), (2800000.0, 4.0)]",2.10728120803833,2.094,26.429316470768452,25.413021
148,"[(3401000.0, 3.0), (2600000.0, 1.0)]",3.299463987350464,2.2279999999999998,29.601416505925656,32.868995
149,"[(3401000.0, 3.0), (2600000.0, 2.0)]",2.4615349769592285,1.78,28.474542423388954,32.757973
150,"[(3401000.0, 3.0), (2600000.0, 3.0)]",2.760976791381836,2.276,27.24696274735689,27.628042
151,"[(3401000.0, 3.0), (2600000.0, 4.0)]",2.3224165439605713,2.428,25.82199538609028,28.240527999999998
152,"[(3401000.0, 3.0), (2400000.0, 1.0)]",3.398132562637329,2.198,28.59141347707033,32.906165
153,"[(3401000.0, 3.0), (2400000.0, 2.0)]",2.532644748687744,1.742,27.797093865523337,31.594279
154,"[(3401000.0, 3.0), (2400000.0, 3.0)]",3.045698404312134,2.133,27.937912235889435,27.229728
155,"[(3401000.0, 3.0), (2400000.0, 4.0)]",2.4308249950408936,2.322,25.929307754805087,26.392633000000004
156,"[(3401000.0, 3.0), (2200000.0, 1.0)]",3.6834733486175537,2.26,28.911901694781776,31.136090000000003
157,"[(3401000.0, 3.0), (2200000.0, 2.0)]",2.6009833812713623,1.704,27.704463061828612,30.702742
158,"[(3401000.0, 3.0), (2200000.0, 3.0)]",3.0912764072418213,2.184,26.405702580099103,26.486016
159,"[(3401000.0, 3.0), (2200000.0, 4.0)]",2.559051275253296,2.536,24.8937742274642,26.597344
160,"[(3401000.0, 3.0), (1900000.0, 1.0)]",4.154592037200928,2.175,28.57133423491001,32.368998
161,"[(3401000.0, 3.0), (1900000.0, 2.0)]",2.867039442062378,1.7269999999999999,27.219812961905,30.884565000000002
162,"[(3401000.0, 3.0), (1900000.0, 3.0)]",3.6109845638275146,2.181,26.934218346538543,24.999997
163,"[(3401000.0, 3.0), (1900000.0, 4.0)]",3.0705552101135254,2.774,24.44417829228878,24.680601
